sku,internal_code,status,brand,series,model,variant_of,gtin,hsn,title,description,category,sub_category,mrp,selling_price,gst_rate,availability,stock_count,condition,installation_included,warranty_months,compressor_warranty_months,weight_kg,length_mm,width_mm,height_mm,capacity,color,star_rating,inverter,rating_value,rating_count,highlights,faqs,image_files
GAL-ST-001,Voltas Stablizer VA 4130-130V-300V,active,Voltas,,9014132,,,,Stabilizer VA4130 - 130V-300V - 4 KVA,"Key Features: Model No.: 9014132 / VA4130 - 130V-300V - 4 KVA Transformer Type: Torodial Core Applicable For: 1.5 TR Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033",Stabiliser,,5590,3925,,in_stock,,new,,,,,,,,,,,,,,,,gal-st-001
GAL-AC-001,Voltas 1.5T SAC 183 INV Vertis Zephyr Gold-1,active,Voltas,,4504085,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zephyr Gold","5 Ton 3 Star Inverter Split Room AC engineered for smart, quiet, and even cooling . With 6 Step Adjustable Mode , it gives you precise control over cooling capacity, matching real‑time room load and occupancy to save energy without compromising comfort. When you need quick relief, Turbo Cooling delivers a fast temperature pull‑down, while Ice Wash Technology helps keep the indoor unit coil cleaner for fresher airflow and sustained performance over time.",Air Conditioner,Split AC,64990,36500,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-001
GAL-AC-002,Voltas 1.5T SAC 183 INV Vertis Zenith Gold,active,Voltas,,4504074,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zenith Gold","5 Ton 3 Star Inverter Split Room AC engineered for smart, quiet, and even cooling . With 6 Step Adjustable Mode , it offers precise control over cooling capacity, matching real‑time room load and occupancy to cut energy waste without compromising comfort. When you need instant relief, Turbo Cooling accelerates the temperature pull‑down, while Ice Wash Technology helps keep the indoor unit coil cleaner for fresher airflow and sustained performance over time.",Air Conditioner,Split AC,64990,36500,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-002
GAL-XX-001,I1000VD - BGWH (Iron),not-listed,Voltas Beko,,1630002,,,,"1000 W Dry Iron (I1000VD-BGWH, Burgundy-White, with Crease-busting Greblon Soleplate)","It features adjustable temperature control, a comfortable grip, and lightweight design for effortless use. Reliable and efficient, it ensures perfect ironing every time. Key Features: Model No.: 1630002 / I1000VD-BGWH Colour: Burgundy &amp; White Capacity: 1000 W Crease-busting Greblon Soleplate Prismatic Tip for Easy-Ironing Easy on the wrist 1000 watt Dry Iron Overheat Protection Thermal Fuse Thermostatic Thermal Control Technical Specifications 1000 W Power Wattage Warranty : 1 Year replacement Brand Name: VOLTAS BEKO Country of Origin : India Manufacturers / Importers: Voltas Ltd, Voltas H",,,1000,550,,in_stock,,new,,,,,,,,,,,,,,,,gal-xx-001
GAL-AC-003,Voltas 1.5T SAC 185 INV Vertis Elite Gold,active,Voltas,,4504066,,,,"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite Gold","5 Ton 5 Star Inverter Split Room AC designed for smarter, quieter comfort. With 6 Step Adjustable Mode , it offers finer control over cooling capacity, matching real‑time room load and occupancy to reduce energy waste without compromising comfort. When you need a quick cool‑down, Turbo Cooling and Ice Wash Technology work together to deliver rapid temperature pull‑down.",Air Conditioner,Split AC,75990,47500,,in_stock,,new,,,,,,,,1.5 Ton,,5,,,,,,gal-ac-003
GAL-ST-002,Voltas Stablizer VA 4090-90V-300V (4KVA),active,Voltas,,9014092,,,,Stabilizer VA4090 - 4KVA - 90V-300V,"Key Features: Model No.: 9014092 / VA4090 - 4KVA - 90V-300V Transformer Type: Torodial Core Applicable For: 1.5 TR Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033",Stabiliser,,9790,7424,,in_stock,,new,,,,,,,,,,,,,,,,gal-st-002
GAL-AC-004,Voltas 1.5T SAC 185 INV Vertis Elite,active,Voltas,,4504156,,,,"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite","5 Ton 5 Star Inverter Split Room AC premium cooling that’s smarter, quieter, and energy efficient. The inverter compressor continuously adjusts speed to maintain stable temperatures with lower power consumption, backed by a 5 Star rating. With 6 Step Adjustable Mode, you can tailor cooling capacity to match room load and occupancy.",Air Conditioner,Split AC,75990,47500,,in_stock,,new,,,,,,,,1.5 Ton,,5,,,,,,gal-ac-004
GAL-AC-005,Voltas 1.5T SAC 183 INV Vertis Plush,active,Voltas,,4504075,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold","5 Ton 3 Star Inverter Split Room AC your smarter, intuitive cooling partner . Powered by Smart AI RAC , it learns your usage patterns and adjusts cooling automatically for optimum comfort. With AI Adaptive Cooling , it senses room conditions and sets the ideal temperature without manual input.",Air Conditioner,Split AC,66990,38000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-005
GAL-AC-006,Voltas 1.5T WAC 185 INV Elite,active,Voltas,,4504156,,,,"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite","5 Ton 5 Star Inverter Split Room AC premium cooling that’s smarter, quieter, and energy efficient. The inverter compressor continuously adjusts speed to maintain stable temperatures with lower power consumption, backed by a 5 Star rating. With 6 Step Adjustable Mode, you can tailor cooling capacity to match room load and occupancy.",Air Conditioner,Split AC,75990,47500,,in_stock,,new,,,,,,,,1.5 Ton,,5,,,,,,gal-ac-006
GAL-AC-007,Voltas 1.5T SAC 183 INV Vectra Aura,active,Voltas,,4504054,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver","5 Ton 3 Star Inverter Split Room AC designed for smart, efficient comfort . With 5 Step Adjustable Mode , it fine‑tunes cooling capacity to your room’s heat load and occupancy, minimizing energy waste while keeping comfort steady. Need quick relief after stepping in from the heat? Turbo Cooling delivers a rapid temperature pull‑down for instant chill.",Air Conditioner,Split AC,60990,35000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-007
