MATCH	90.0	Voltas Stablizer VA 4130-130V-300V	Stabilizer VA4130 - 130V-300V - 4 KVA	MRP 5590 / 3925	9014132	1200x1200	stabilizer-va4130-130v-300v-4-kva	model=va4130	90.0	[{"handle":"stabilizer-va4130-130v-300v-4-kva","title":"Stabilizer VA4130 - 130V-300V - 4 KVA","score":90,"reasons":["model=va4130"]},{"handle":"protection-plan-1-year-for-split-air-conditioner","title":"Protection Plan 1 Year - For Split Inverter Air Conditioner","score":0,"reasons":[]},{"handle":"protection-plan-1-year-for-window-air-conditioner","title":"Protection Plan 1 Year - For Window Non-Inverter Air Conditioner","score":0,"reasons":[]}]
MATCH	65.0	Voltas 1.5T SAC 183 INV Vertis Zephyr Gold-1	Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zephyr Gold	MRP 64990 / 36500	4504085	1500x1500	voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-zephyr-gold	capacity-ton=1.5, family=183inv, name=vertis+zephyr+gold	20.0	[{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-zephyr-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zephyr Gold","score":65,"reasons":["capacity-ton=1.5","family=183inv","name=vertis+zephyr+gold"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-ai-zest-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold","score":45,"reasons":["capacity-ton=1.5","family=183inv","name=vertis+gold"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-zen-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zen Gold","score":45,"reasons":["capacity-ton=1.5","family=183inv","name=vertis+gold"]}]
NONE	0	WTT70DLIM / BKSSBK4GTD						no discriminating evidence	0	[]
NONE	0	WTT70DBLT						no discriminating evidence	0	[]
MATCH	65.0	Voltas 1.5T SAC 183 INV Vertis Zenith Gold	Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zenith Gold	MRP 64990 / 36500	4504074	1200x1200	voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-zenith-gold	capacity-ton=1.5, family=183inv, name=vertis+zenith+gold	20.0	[{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-zenith-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zenith Gold","score":65,"reasons":["capacity-ton=1.5","family=183inv","name=vertis+zenith+gold"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vectra-zenith-silver","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver","score":45,"reasons":["capacity-ton=1.5","family=183inv","name=zenith+gold"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-ai-zest-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold","score":45,"reasons":["capacity-ton=1.5","family=183inv","name=vertis+gold"]}]
NONE	0	WTT85UWA / BKSSWH5GBDE						no discriminating evidence	0	[]
NONE	0	I1000VD - BGWH (Iron)						source unsupported	0	[]
NONE	0	7.0 KG VOLTAS BEKO W/M WTT 70DGRT						no discriminating evidence	0	[]
WEAK	65.0	Voltas 1.5T SAC 185 INV Vertis Elite Gold	Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite	MRP 75990 / 47500	4504156	1200x1200	voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-elite	capacity-ton=1.5, family=185inv, name=vertis+elite+gold	0.0	[{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-elite","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite","score":65,"reasons":["capacity-ton=1.5","family=185inv","name=vertis+elite+gold"]},{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-elite-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite Gold","score":65,"reasons":["capacity-ton=1.5","family=185inv","name=vertis+elite+gold"]},{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-ai-zest-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis AI Zest Gold","score":45,"reasons":["capacity-ton=1.5","family=185inv","name=vertis+gold"]}]
NONE	0	VOLTAS CVF 320 DA4-P-PL/W2						no discriminating evidence	0	[]
MATCH	98.0	Voltas Stablizer VA 4090-90V-300V (4KVA)	Stabilizer VA4090 - 4KVA - 90V-300V	MRP 9790 / 7424	9014092	1200x1200	stabilizer-va4090-4kva-90v-300v	kva=4, model=va4090	98.0	[{"handle":"stabilizer-va4090-4kva-90v-300v","title":"Stabilizer VA4090 - 4KVA - 90V-300V","score":98,"reasons":["kva=4","model=va4090"]},{"handle":"protection-plan-1-year-for-split-air-conditioner","title":"Protection Plan 1 Year - For Split Inverter Air Conditioner","score":0,"reasons":[]},{"handle":"protection-plan-1-year-for-window-air-conditioner","title":"Protection Plan 1 Year - For Window Non-Inverter Air Conditioner","score":0,"reasons":[]}]
